table,metric,value,avg_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms,jitter_ms,target,target_ms,verdict
T1_coldstart,Pose_init_ms,168.1,,,,,,,,500,,PASS
T1_coldstart,FaceMesh_init_ms,33.4,,,,,,,,600,,PASS
T1_coldstart,Hands_init_ms,49.7,,,,,,,,500,,PASS
T2_latency,Pose,,26.71,19.12,51.32,104.19,17.65,265.87,19.16,,20,REVIEW
T2_latency,FaceMesh,,5.12,3.71,11.13,27.83,3.32,58.75,5.28,,25,PASS
T2_latency,Hands,,26.06,20.75,51.13,74.48,14.48,85.91,12.85,,20,REVIEW
T2_latency,End-to-end,,42.32,38.91,83.67,160.05,17.7,410.54,32.09,,33.3,REVIEW
T2_latency,realtime_headroom_%,-27.0,,,,,,,,,,
T3_throughput,sustained_fps,7.4,,,,,,,,15,,REVIEW
T3_throughput,peak_fps,56.5,,,,,,,,,,
T4_reliability,Pose_detect_%,100.0,,,,,,,,,,
T4_reliability,Face_detect_%,98.7,,,,,,,,,,
T4_reliability,Hands_detect_%,54.0,,,,,,,,,,
T6_tasks,gen_time_per_task_ms,0.012,,,,,,,,,,
T6_tasks,distinct_types,7,,,,,,,,,,
T6_tasks,methods,3,,,,,,,,,,
T6_tasks,b2b_repeat_%,26.9,,,,,,,,,,
